aX,aY,aZ,gX,gY,gZ
-0.164,1.769,0.700,-24.990,15.610,19.320
-0.194,1.931,0.701,-18.620,17.220,46.060
-0.214,2.043,0.724,-13.020,16.450,75.110
-0.250,2.104,0.753,-11.270,13.580,104.720
-0.273,2.115,0.763,-11.900,11.410,146.720
-0.283,2.023,0.769,-11.900,9.660,176.820
-0.329,1.866,0.795,-9.520,7.770,200.830
-0.398,1.672,0.823,-7.980,5.250,220.290
-0.440,1.453,0.839,-7.700,5.110,236.670
-0.482,1.225,0.872,-10.430,5.740,249.480
-0.521,0.992,0.898,-14.560,7.560,258.650
-0.554,0.745,0.936,-15.890,9.660,263.340
-0.582,0.468,0.996,-15.120,9.380,262.220
-0.600,0.118,1.062,-13.230,7.210,253.190
-0.628,-0.114,1.102,-11.550,4.970,243.670
-0.623,-0.319,1.101,-11.480,2.940,231.700
-0.617,-0.494,1.116,-12.810,1.890,218.050
-0.612,-0.623,1.139,-14.070,-0.420,204.190
-0.607,-0.740,1.139,-12.740,-1.820,189.910
-0.584,-0.862,1.147,-8.470,-2.380,169.330
-0.566,-0.926,1.139,-6.090,-2.730,153.440
-0.556,-0.975,1.140,-3.640,-2.100,137.130
-0.512,-1.013,1.141,-4.690,-0.560,120.610
-0.469,-1.039,1.146,-12.390,1.470,99.190
-0.444,-1.039,1.146,-15.890,2.940,84.350
-0.418,-1.039,1.150,-18.060,4.970,69.650
-0.376,-1.032,1.151,-21.280,6.790,56.070
-0.345,-1.006,1.164,-26.250,8.680,42.140
-0.320,-0.924,1.200,-28.000,8.400,34.090
-0.310,-0.874,1.219,-25.480,4.900,26.040
-0.288,-0.816,1.227,-18.760,-4.130,18.620
-0.271,-0.739,1.219,-10.430,-11.270,11.340
-0.254,-0.656,1.191,0.420,-18.410,6.230
-0.229,-0.622,1.159,6.160,-27.160,-0.770
-0.222,-0.571,1.118,7.140,-30.030,-10.150
-0.210,-0.488,1.072,3.080,-29.750,-15.960
-0.196,-0.392,1.031,-5.460,-24.080,-19.110
-0.244,-0.305,0.963,-10.920,-16.730,-21.910
-0.267,-0.197,0.945,-10.780,-9.310,-25.270
-0.281,-0.116,0.950,-6.930,-2.590,-25.550
-0.278,-0.046,0.965,0.210,0.490,-25.550
-0.283,0.024,0.997,9.310,2.030,-24.850
-0.279,0.066,1.022,14.350,1.820,-23.450
-0.263,0.115,1.046,17.220,0.280,-19.390
-0.225,0.153,1.068,16.100,-2.940,-14.000
-0.199,0.172,1.080,12.320,-7.840,-7.210
-0.178,0.160,1.080,5.040,-13.720,-3.920
-0.158,0.149,1.051,0.700,-20.440,-1.330
-0.146,0.148,0.999,-2.170,-22.330,1.330
-0.125,0.150,0.948,-6.090,-21.420,4.620
-0.104,0.148,0.906,-7.980,-19.460,6.860
-0.103,0.138,0.878,-6.580,-12.740,8.610
-0.106,0.128,0.863,-3.080,-6.650,9.590
-0.114,0.096,0.873,2.310,-1.190,8.680
-0.115,0.081,0.919,7.770,1.820,7.280
-0.108,0.087,0.967,8.960,4.060,7.980
-0.094,0.084,1.010,9.800,5.250,8.050
-0.086,0.063,1.069,10.570,1.610,5.670
-0.065,0.057,1.094,10.920,-3.850,3.150
-0.059,0.081,1.085,10.850,-7.700,3.220
-0.061,0.097,1.052,9.660,-10.710,3.850
-0.062,0.088,1.030,8.820,-12.460,2.940
-0.066,0.093,0.998,8.330,-12.320,1.190
-0.074,0.119,0.985,7.420,-10.850,1.400
-0.085,0.145,0.950,7.910,-6.860,2.730
-0.080,0.159,0.934,9.660,-3.360,4.340
-0.065,0.163,0.934,15.890,-0.980,5.390
-0.064,0.162,0.938,17.220,2.100,6.440
-0.058,0.157,0.947,16.590,4.410,7.140
-0.043,0.147,0.950,14.070,6.160,7.980
-0.034,0.135,0.966,10.430,7.700,8.610
-0.042,0.135,0.978,6.790,8.400,8.890
-0.056,0.125,0.990,5.600,9.310,9.240
-0.052,0.122,1.016,4.830,8.750,9.240
-0.055,0.118,1.028,5.040,8.260,9.730
-0.068,0.107,1.042,5.670,8.190,10.010
-0.069,0.088,1.059,5.670,7.140,9.170
-0.072,0.060,1.068,5.040,6.090,6.440
-0.082,0.045,1.070,3.780,5.320,4.060
-0.085,0.027,1.072,2.870,4.200,1.400
-0.108,0.031,1.074,1.540,3.220,-1.260
-0.120,0.039,1.071,0.070,2.870,-2.800
-0.129,0.054,1.075,-0.700,1.820,-3.290
-0.139,0.080,1.078,-0.140,1.540,-1.750
-0.132,0.086,1.090,1.890,0.210,-0.630
-0.129,0.085,1.101,5.390,-3.430,0.000
-0.136,0.079,1.098,9.450,-6.090,0.630
-0.144,0.068,1.098,14.070,-8.750,0.630
-0.144,0.050,1.084,17.990,-10.640,-0.210
-0.153,0.045,1.073,18.970,-12.390,-1.260
-0.160,0.035,1.056,19.320,-13.090,-2.660
-0.168,0.029,1.050,18.550,-13.020,-6.860
-0.170,0.021,1.036,12.530,-12.250,-10.290
-0.156,0.028,1.028,7.280,-10.640,-13.020
-0.151,0.044,1.020,3.640,-9.660,-15.050
-0.153,0.061,1.024,1.890,-9.660,-16.520
-0.153,0.084,1.029,2.730,-10.290,-16.730
-0.156,0.097,1.022,4.690,-10.500,-16.100
-0.138,0.100,1.008,7.840,-10.290,-16.030
-0.138,0.097,1.010,10.500,-10.150,-16.170
-0.128,0.093,1.017,12.040,-10.570,-17.010
-0.128,0.090,1.031,13.580,-11.900,-18.620
-0.145,0.078,1.028,15.330,-10.990,-19.740
-0.156,0.080,1.044,14.910,-10.780,-20.860
-0.167,0.081,1.054,13.650,-10.990,-21.980
-0.186,0.074,1.059,13.510,-10.430,-22.890
-0.204,0.062,1.069,13.510,-10.290,-24.920
-0.207,0.050,1.084,12.320,-10.780,-28.000
-0.199,0.087,1.110,9.660,-12.600,-26.810
-0.183,0.118,1.127,7.070,-15.680,-22.820
-0.190,0.122,1.136,9.170,-18.410,-19.320
-0.197,0.110,1.142,10.500,-20.720,-16.660
-0.200,0.072,1.151,12.740,-23.870,-15.400
-0.214,0.050,1.158,14.420,-28.280,-16.310
-0.210,0.023,1.149,15.610,-31.430,-18.760
-0.179,-0.012,1.149,15.540,-32.550,-23.100
-0.149,-0.023,1.142,12.810,-33.530,-26.950
-0.100,-0.028,1.128,9.310,-33.040,-31.920
-0.065,-0.022,1.119,4.270,-33.390,-37.590

-0.134,1.476,0.960,-36.960,-7.420,-39.900
-0.206,1.736,0.886,-29.050,-5.320,-25.830
-0.241,1.932,0.827,-22.260,-1.120,-7.280
-0.263,2.122,0.781,-18.270,0.140,15.540
-0.278,2.279,0.748,-15.540,-1.190,51.590
-0.305,2.374,0.726,-15.470,-6.860,80.080
-0.322,2.391,0.704,-20.650,-14.840,110.810
-0.342,2.328,0.624,-22.190,-21.210,143.570
-0.359,2.190,0.565,-20.440,-20.860,187.250
-0.381,1.909,0.531,-13.650,-15.400,218.190
-0.413,1.600,0.546,-2.520,-7.910,241.850
-0.465,1.254,0.613,6.580,1.400,256.620
-0.508,0.898,0.673,13.650,6.440,262.570
-0.516,0.477,0.733,13.930,13.440,262.080
-0.511,0.193,0.798,10.150,20.020,257.880
-0.503,-0.066,0.878,7.630,27.860,250.460
-0.475,-0.311,0.957,11.270,31.710,237.160
-0.435,-0.552,1.049,23.870,34.370,216.440
-0.402,-0.852,1.143,34.860,34.370,197.400
-0.352,-1.040,1.247,43.260,30.940,175.210
-0.334,-1.157,1.395,43.750,23.660,152.110
-0.311,-1.251,1.474,34.370,19.880,129.080
-0.306,-1.284,1.514,8.610,16.100,98.770
-0.287,-1.287,1.507,-9.240,12.740,76.580
-0.266,-1.255,1.465,-23.240,9.030,57.260
-0.227,-1.179,1.406,-28.490,8.820,43.680
-0.223,-1.094,1.377,-21.140,10.570,33.180
-0.192,-1.002,1.365,-9.520,10.640,25.410
-0.176,-0.957,1.382,1.960,5.530,16.380
-0.176,-0.912,1.366,11.550,0.560,7.210
-0.169,-0.828,1.330,16.310,-3.430,-3.570
-0.173,-0.743,1.286,12.950,-6.860,-10.220
-0.177,-0.654,1.203,5.040,-7.980,-15.260
-0.174,-0.574,1.154,-6.790,-8.400,-20.930
-0.183,-0.443,1.110,-13.580,-7.070,-23.800
-0.220,-0.345,1.049,-17.290,-4.200,-26.320
-0.211,-0.247,1.024,-16.520,0.000,-26.740
-0.203,-0.137,1.007,-8.050,4.340,-25.970
-0.183,-0.081,1.001,2.800,8.120,-25.410
-0.161,-0.059,1.032,11.340,10.360,-26.460
-0.146,-0.033,1.068,15.610,7.770,-28.140
-0.144,0.014,1.076,9.800,5.670,-28.140
-0.122,0.046,1.064,-0.630,2.870,-28.630
-0.109,0.104,1.051,-11.620,-1.610,-27.860
-0.093,0.161,0.993,-20.090,-3.780,-25.620
-0.068,0.210,0.959,-24.640,-5.740,-20.930
-0.075,0.271,0.931,-22.890,-7.910,-15.470
-0.081,0.302,0.896,-17.920,-8.470,-9.310
-0.090,0.302,0.881,-10.430,-8.750,-1.750
-0.092,0.271,0.876,-1.400,-8.260,3.500
-0.080,0.242,0.869,2.310,-6.090,7.630
-0.044,0.192,0.873,2.800,-2.450,8.120
-0.044,0.152,0.893,1.400,-1.120,5.880
-0.051,0.137,0.906,-2.240,1.400,4.270
-0.067,0.142,0.924,-5.460,5.320,3.290
-0.061,0.146,0.943,-6.790,6.930,2.380
-0.057,0.150,0.955,-5.180,7.350,1.190
-0.065,0.163,0.969,-0.770,7.490,1.750
-0.065,0.181,0.985,4.200,7.070,3.710
-0.063,0.184,0.995,9.170,6.230,5.950
-0.056,0.176,1.008,12.810,5.250,7.980
-0.051,0.159,1.017,18.340,3.710,9.800
-0.031,0.141,1.039,20.440,2.590,8.750
-0.037,0.091,1.052,21.140,-0.910,5.390
